Dia,Mes,Año,Festivo,Dia_Semana,dias_laborales,Unidades predecidas
11,8,2018,0,5,1,255.72986
12,8,2018,0,6,0,26.706736
13,8,2018,0,0,1,729.94165
14,8,2018,0,1,1,816.81683
15,8,2018,0,2,1,909.5708
16,8,2018,0,3,1,931.8216
17,8,2018,0,4,1,931.8216
18,8,2018,0,5,1,244.509
19,8,2018,0,6,0,26.706736
20,8,2018,1,0,0,27.209618
21,8,2018,0,1,1,853.15106
22,8,2018,0,2,1,945.905
23,8,2018,0,3,1,1023.67285
24,8,2018,0,4,1,1023.67285
25,8,2018,0,5,1,254.15883
26,8,2018,0,6,0,26.706736
27,8,2018,0,0,1,815.2814
28,8,2018,0,1,1,1232.1417
29,8,2018,0,2,1,1432.542
30,8,2018,0,3,1,1700.8569
31,8,2018,0,4,1,1923.5851
1,9,2018,0,5,1,185.52783
2,9,2018,0,6,0,26.706736
3,9,2018,0,0,1,531.91925
4,9,2018,0,1,1,642.95636
5,9,2018,0,2,1,894.93915
6,9,2018,0,3,1,927.3902
7,9,2018,0,4,1,927.3902
8,9,2018,0,5,1,238.2199
9,9,2018,0,6,0,26.706736
10,9,2018,0,0,1,729.94165
11,9,2018,0,1,1,816.81683
12,9,2018,0,2,1,909.5708
13,9,2018,0,3,1,931.8216
14,9,2018,0,4,1,931.8216
15,9,2018,0,5,1,244.44821
16,9,2018,0,6,0,26.706736
17,9,2018,0,0,1,729.94165
18,9,2018,0,1,1,816.81683
19,9,2018,0,2,1,909.5708
20,9,2018,0,3,1,931.8216
21,9,2018,0,4,1,968.1558
22,9,2018,0,5,1,244.44821
23,9,2018,0,6,0,26.706736
24,9,2018,0,0,1,726.8737
25,9,2018,0,1,1,939.0383
26,9,2018,0,2,1,1082.2513
27,9,2018,0,3,1,1198.7565
28,9,2018,0,4,1,1556.3628
29,9,2018,0,5,1,563.93445
30,9,2018,0,6,0,29.470425
1,10,2018,0,0,1,510.16537
2,10,2018,0,1,1,621.387
3,10,2018,0,2,1,873.3698
4,10,2018,0,3,1,898.5228
5,10,2018,0,4,1,898.5228
6,10,2018,0,5,1,232.83292
7,10,2018,0,6,0,26.706736
8,10,2018,0,0,1,729.94165
9,10,2018,0,1,1,795.2475
10,10,2018,0,2,1,888.00146
11,10,2018,0,3,1,910.25226
12,10,2018,0,4,1,910.25226
13,10,2018,0,5,1,244.44821
14,10,2018,0,6,0,26.706736
15,10,2018,1,0,0,27.209618
16,10,2018,0,1,1,795.2475
17,10,2018,0,2,1,888.00146
18,10,2018,0,3,1,910.25226
19,10,2018,0,4,1,910.25226
20,10,2018,0,5,1,244.44821
21,10,2018,0,6,0,26.706736
22,10,2018,0,0,1,742.0325
23,10,2018,0,1,1,890.9
24,10,2018,0,2,1,979.8527
25,10,2018,0,3,1,1050.242
26,10,2018,0,4,1,1061.1625
27,10,2018,0,5,1,410.0675
28,10,2018,0,6,0,26.706736
29,10,2018,0,0,1,1367.3691
30,10,2018,0,1,1,1819.5759
31,10,2018,0,2,1,1902.7408
1,11,2018,0,3,1,725.2827
2,11,2018,0,4,1,725.2827
3,11,2018,0,5,1,204.58919
4,11,2018,0,6,0,26.706736
5,11,2018,1,0,0,51.76935
6,11,2018,0,1,1,720.6593
7,11,2018,0,2,1,910.07825
8,11,2018,0,3,1,936.76044
9,11,2018,0,4,1,936.76044
10,11,2018,0,5,1,255.48718
11,11,2018,0,6,0,26.706736
12,11,2018,1,0,0,27.209618
13,11,2018,0,1,1,795.2475
14,11,2018,0,2,1,914.50964
15,11,2018,0,3,1,936.76044
16,11,2018,0,4,1,936.76044
17,11,2018,0,5,1,255.48718
18,11,2018,0,6,0,26.706736
19,11,2018,0,0,1,729.94165
20,11,2018,0,1,1,795.2475
21,11,2018,0,2,1,950.8439
22,11,2018,0,3,1,973.09467
23,11,2018,0,4,1,1028.6117
24,11,2018,0,5,1,274.32266
25,11,2018,0,6,0,26.706736
26,11,2018,0,0,1,745.61017
27,11,2018,0,1,1,1271.8188
28,11,2018,0,2,1,2092.1182
29,11,2018,0,3,1,2205.6616
30,11,2018,0,4,1,1787.8038
1,12,2018,0,5,1,310.8314
2,12,2018,0,6,0,26.706736
3,12,2018,0,0,1,691.1999
4,12,2018,0,1,1,847.12524
5,12,2018,0,2,1,1222.4733
6,12,2018,0,3,1,1304.3566
7,12,2018,0,4,1,1290.7606
8,12,2018,1,5,0,121.05051
9,12,2018,0,6,0,26.706736
10,12,2018,0,0,1,1088.0457
11,12,2018,0,1,1,1368.2098
12,12,2018,0,2,1,1527.3375
13,12,2018,0,3,1,1546.1411
14,12,2018,0,4,1,1532.5452
15,12,2018,0,5,1,391.38242
16,12,2018,0,6,0,26.706736
17,12,2018,0,0,1,1158.887
18,12,2018,0,1,1,1539.8801
19,12,2018,0,2,1,1607.7439
20,12,2018,0,3,1,1555.7062
21,12,2018,0,4,1,1555.7062
22,12,2018,0,5,1,381.90854
23,12,2018,0,6,0,26.706736
24,12,2018,0,0,1,1049.6516
25,12,2018,1,1,0,55.164402
26,12,2018,0,2,1,1614.9753
27,12,2018,0,3,1,2022.1473
28,12,2018,0,4,1,1822.9286
29,12,2018,0,5,1,501.80026
30,12,2018,0,6,0,29.667364
31,12,2018,0,0,1,939.57837
